personName
Mikhail Lomtadze
Tom Morris
Shigenobu Nagamori
Daniel Och
Horst Paulmann & family
Anthony Pritzker
John Sall
Howard Schultz
Richard Schulze
Yitzhak Tshuva
Wang Yanqing & family
Rajiv Bajaj
Sanjiv Bajaj
Leonid Boguslavsky
Jim Coulter
Nicolas D'Ieteren
Beatriz Davila de Santo Domingo
Bob Gaglardi
Jaime Gilinski Bacal
Pansy Ho
Alan Howard
Huang Yi
Peter Kellogg
Vyacheslav Kim
Josh Kushner
Samuel Tak Lee
Edwin Leong
"Stephen Mandel, Jr."
Mohamed Mansour
Masahiro Miki
Masahiro Noda
Cliff Obrecht
Melanie Perkins
J.B. Pritzker
Juan Roig
Jerry Speyer & family
Lawrence Stroll
Tung Chee Chen
Wang Junlin
Xia Zuoquan
Zeng Fangqin
Zhang Jian
Rocco Basilico
Maurizio Billi
Fashu Chen
Giuseppe Crippa & family
Daniel D'Aniello
Claudio Del Vecchio
Clemente Del Vecchio
Leonardo Maria Del Vecchio
Luca Del Vecchio
Marisa Del Vecchio
Paola Del Vecchio
Walter P.J. Droege
Fan Daidi
Peter Gassner
Mikhail Gutseriev
Patrick Lee
Leng Youbin
Daniel Loeb
Margarita Louis-Dreyfus & family
Prasert Prasarttong-Osoth
Ira Rennert
Dirk Rossmann & family
Arkady Rotenberg
Remo Ruffini
Karin Sartorius-Herbst
Vivek Chaand Sehgal
Scott Shleifer
Thomas Siebel
Wim van der Leegte & family
Xiao Yongming & family
Michael Xie
Yang Shaopeng
Nicoletta Zampillo
Barry Zekelman
William Ackman
Somphote Ahunai
Igor Altushkin
Ramon Ang
Acharya Balkrishna
Markus Blocher
Richard Branson
Cho Jung-ho
Alessandra Garavoglia
Laurence Graff & family
"Amos Hostetter, Jr."
Robert Johnson
Steven Klinsky
William Lauder
John Middleton
Hiroshi Mikitani
Bob Parsons
J. Joe Ricketts & family
Herb Simon
Leena Tewari
Stefan von Holtzbrinck
Hans Peter Wild
Wu Guanjiang & family
Yi Zheng
Eric Yuan & family
Charles Zegar
Mohed Altrad
John Arnold
Bill Austin
Chen Shibin
Bennett Dorrance
Walter Faria
Walter Frey
Fu Liquan & family
John Gandel
Peter Gilgan
Kwek Leng Beng
Pablo Legorreta
Arnon Milchan
Akio Nitori
Julio Ponce Lerou
Rodger Riney & family
Phil Ruffin
Naguib Sawiris
Neil Shen
Gil Shwed
Stephen Smith
Nik Storonsky
Jeffrey Talpins
Carl Thoma
Todd Wanek
Xue Hua
Takao Yasuda
Karen Virginia Beckmann Legoretta
Giuliana Benetton
Luciano Benetton
Arun Bharat Ram
Ron Burkle
Chen Kaixuan
Brunello Cucinelli & family
Antonio Del Valle Ruiz & family
Gustavo Denegri & family
Dong Jinggui
Charles Ergen
David Filo
Lindsay Fox
Sergei Galitsky
Senapathy Gopalakrishnan
Luciano Hang
Michael Hintze
Hu Baifan
Hamilton James & family
Lee Boo-jin
Li Liangbin
Liang Feng
Samir Mehta
Sudhir Mehta
Aristotelis Mistakidis
Geoffrey Palmer
Roger Penske
Ravi Pillai
David Rubenstein
Hilton Schlosberg
Klaus-Peter Schulenberg
Lynn Schusterman & family
Isabella Seràgnoli
Shen Guojun
Warren Stephens
Pat Stryker
Roman Trotsenko
Harald Tschira
Udo Tschira
Vincent Viola
Wu Shaoxun
Steve Wynn
Jon Yarbrough
Zhou Bajin
Cho Tak Wong
John Coates
Ryan Cohen
Deng Wen
Gurbachan Singh Dhingra
Kuldip Singh Dhingra
Martin Ebner
Charles Edelstenne
Sergei Gordeev
Jeff T. Green
Reed Hastings
Bertil Hult
Miguel Krigsner
Kuok Khoon Hong
Aerin Lauder
Sheldon Lavin
Yin Yee Lee
Vladimir Litvinenko & family
Daniel Mate
Ravi Modi
Farhad Moshiri
Jonathan Nelson
Or Wai Sheun
Katharina Otto-Bernstein
Sergei Popov
Penny Pritzker
Theodore Rachmat
Renzo Rosso & family
Friede Springer
Rita Tong Liu
Timur Turlov
Frank VanderSloot
Yoo Jung-hyun
Abdulla bin Ahmad Al Ghurair & family
Semahat Sevim Arsel
Nicolas Berggruen
George Bishop
Norman Braman
Eva Maria Bucher-Haefner
Cai Dongchen
Jean-Pierre Cayard
Chan Tan Ching-fen
Todd Christopher
Mang Yee Chu & family
"William Conway, Jr."
Jean Coutu & family
Catheline Perier D'Ieteren
"Edward DeBartolo, Jr."
Stephen Deckoff
Feng Hailiang
"Ernest Garcia, II."
Sam Goi
Carlos Hank Rhon
Susan Carol Holland
Hui Ka Yan
Vivek Jain
Friedrich Knapp
Egor Kulkov
Lin Ming-hsiung
Lin Xiucheng & family
Harsh Mariwala
Gilles Martin
Maja Oeri
John Paulson
Ajay Piramal
Guanghe Qiu & family
Stephen Rubin
Robert Sands
Erik Selin
Yonghong Shi & family
Martua Sitorus
Guangxin Sun
Sukanto Tanoto
Sunny Varkey
Gang Ye
Ye Xiaoping
Lei Zhang
Zhu Gongshan & family
Isak Andic & family
Alberto Bombassei
Cao Longxiang & family
"Roy Carroll, II."
John Caudwell
James Clark
Jacques D'Amours
John Paul DeJoria
Bernard Ecclestone & family
Michael Federmann & family
Kenneth Feld & family
Gu Yuhua & family
Otto Happel
Gudrun Heine
Donald Horton & family
Zarakh Iliev
Ipek Kirac
Lee Seo-hyun
Li Jianquan & family
Li Li
Li Xiaohua & family
Liu Xiaodong
Martin Lorentzon
Ronald McAulay
Erwin Franz Mueller
Georg Nemetschek & family
God Nisanov
Vikas Oberoi
Gregorio Perez Companc & family
Sebastian Piñera & family
Arvind Poddar
Alexey Repik
Haim Saban
Rodney Sacks
Karthik Sarma
Sybill Storz
Daniel Sundheim
"William Wrigley, Jr."
Zhang Wenzhong
Zhou Jianping
Joy Alukkas
Kang An
