personName,numberOfCompanies
Xu Shijun & family,0
Wanmao Xu,0
Xu Yuejuan,0
Vadim Yakunin,0
Yang Yunyun,0
Matei Zaharia,2
Zan Shengda,0
Zhang Xuezheng,0
Zhang Yin,0
Ning Zhao,0
Zhou Wen & family,0
Zhu Xingliang,0
Hari Krishan Agarwal,0
Farkhad Akhmedov,1
Prem Kumar Arora,0
Joseph Bae,0
Abigail Bennett,0
Sara Blakely,3
Lloyd Blankfein,1
Henadiy Boholyubov,0
Stephane Bonvin,0
Oleg Boyko,0
Ryan Breslow,0
Thomas Bruch,1
Marina Budiman,0
Pradip Burman,0
Cai Hongbin,0
Cao Kejian,0
Giuliana Caprotti,0
Marina Caprotti,0
Chang Jing,0
Chen Baohua,0
Gang Chen,1
Liying Chen,0
Tony Chen,0
Chen Xueling,0
Cheng Lili,0
Cho Jyh-jer,0
Weili Dai,1
Carmen Daurella Aguilera,0
Deng Yingzhong,0
Shlomo Eliahu,0
Henry Engelhardt,0
Gabriel Escarrer,1
Daniel Feffer,0
Ruben Feffer,0
Gleb Fetisov,1
Paul Fireman,0
Robert Fisher,0
Bernd Freier,0
Donald Friese,0
Gan Zhongru,0
Rahul Gautam,0
David Golub,0
Pavel Golubkov,0
Cristina Green,0
Philip Green,0
Said Gutseriev,0
Polys Haji-Ioannou,0
He Zuxun,0
Christian Herz,0
Michaela Herz,0
David Hindawi,0
Huang Shan,0
Huang Xiaofen & family,0
Hiroshi Ishibashi,0
Masayuki Ishihara,0
Chatchai Kaewbootta,0
Nikhil Kamath,1
Jonas Kamprad,0
Mathias Kamprad,0
Peter Kamprad,0
Fumio Kaneko,1
Sunjay Kapur,0
Ali Metin Kazanci,0
Kangbao Ke & family,0
Carsten Koerl,0
Koo Bon-sik,0
Andrei Kosogov,0
Yogesh Kothari,0
Arvind Lal,0
Manuel Lao Hernández,0
Lee Joong-keun,0
Nancy Lerner,0
Norma Lerner,0
Randolph Lerner,0
Lin Zhijun,1
Lin Zhixiong & family,0
Jeffrey Lorberbaum,0
Lu Rongfu,0
Lyu Yixiong,0
Soichiro Minami,1
Pawan Munjal,0
Renu Munjal,0
Suman Munjal,0
Dmitry Nikolaev,0
Sjamsul Nursalim,0
Adrian Paval,0
Antonio Percassi,0
Kevin Plank,0
G.V. Prasad,0
Pu Zhongjie & family,0
Rao Wei & family,0
Helena Revoredo,3
Matthew Roszak,0
Paul Sciarra,0
Rajesh Sharma,0
Dean Solon,0
Michael Spencer,0
Joseph Steinberg,0
Zachary Stern,0
Manny Stul,0
Sun Hongjun,0
Sun Weijie,0
Sehat Sutardja,0
Min-Liang Tan,0
Tan Yu Yeh,0
Tang Aoqi & family,1
Vonnarat Tangkaravakoon,0
Tsao Ter-fung,0
Tung Ching Sai,0
Arkady Volozh,1
Peter-Alexander Wacker,0
Wan Long,0
Wang Han,0
Lars Wingefors,0
Allan Wong,0
Tiger Woods,0
Horst Wortmann,0
Wu Kaiting,0
Wu Li-gann,0
Wu Xiangdong,0
Xiu Laigui,0
Xu Jiangnan,0
Xue Jiping,0
Yao Hsiao Tung,0
Ye Qiongjiu,0
Yanqiao Ye,0
Yeh Kuo-I,0
Yu Faxiang,0
Zeng Chaolin,0
Kapeng Zhang,0
Zhang Xuansong,0
Zhang Xuewu,0
Zhu Yiming,0
Zhu Zhaojiang,0
Zhuo Jun,0
Manohar Lal Agarwal,0
Christian Angermayer,0
Ryuji Arai,0
Anna Maria Braun,0
Johanna Braun,0
Karl Friedrich Braun,0
Ludwig Theodor Braun,0
Ana Maria Brescia Cafferata,0
Jimmy Buffett,0
Hideyuki Busujima,0
Edouard Carmignac,0
Chang Kuo-Ming,0
Chen Jiancheng,0
Rui Chen,1
Chen Shiliang,0
Tianqiao Chen,0
Yuantai Chen,0
Cheng Antares,0
Kochouseph Chittilappilly,0
John Christodoulou,1
Pollyanna Chu,0
Turgay Ciner,0
Benoit Dageville,0
Mark Dixon,0
Du Yulin & family,0
Feng Yuxia,0
Benedicte Find,0
William Fisher,0
Gao Yunfeng,0
Jianming Geng,0
Sven Hagströmer,0
Clelia Haji-Ioannou,0
Stelios Haji-Ioannou,0
Hang Hong,0
He Yamin & family,0
Ghan Djoe Hiang,0
Hong Feng,1
Hong Seok-joh,0
Hu Gengxi & family,0
Danilo Iervolino,1
Hedda im Brahm-Droege,0
Inder Jaisinghani,0
LeBron James,0
Johan Johannson,0
Morris Kahn,0
Ashok Kajaria,0
Marcelo Kalim,0
Ken Kendrick,0
Brad Keywell,0
Muhammed Aziz Khan,0
Kim Jung-woong,0
Ihor Kolomoyskyy,0
Kong Jian Min,0
Koo Bon-neung,0
Michael Kum,0
Richard Kurtz,0
Lev Kvetnoi,0
Michiel Le Roux,0
Li Wanqiang,0
Liu Baolin,0
Loo Choon Yong,0
Lu Yonghua & family,0
Ma Xiuhui,0
Apoorva Mehta,0
Gabriella Meister,0
Ulrike Meister,0
Andrei Molchanov,0
Fulvio Montipò & family,0
Stanley Motta,0
Tyler Perry,0
Réal Plourde,0
Vera Rechulski Santo Domingo,0
George Sakellaris,0
Eddy Kusnadi Sariaatmadja,0
Neerja Sethi,0
Scott Smith,0
Petter Stordalen & family,0
Ivan Streshinsky,0
Sergei Sudarikov,0
Wijono Tanoko,0
Haryanto Tjiptodihardjo,0
David Tran & family,0
Kenzo Tsujimoto,1
Murat Vargi,0
Shigefumi Wada,0
Wan Feng & family,0
Wang Jianfeng & family,0
Masaru Wasami,0
V. Prem Watsa,0
Wen Pengcheng & family,0
Toto Wolff,1
Franziska Wuerbser,0
Xie Bingzheng & family,0
Xu Gang,0
Yan Junxu,0
Yi Xianzhong & family,0
Yu Rong,2
"Richard Yuengling, Jr.",0
Zhang Gongyun,0
Zhang Guiping & family,0
Inigo Zobel,0
