personName,numberOfCompanies
Sunny Varkey,0
Gang Ye,0
Ye Xiaoping,0
Lei Zhang,1
Zhu Gongshan & family,0
Isak Andic & family,1
Alberto Bombassei,0
Cao Longxiang & family,0
"Roy Carroll, II.",0
John Caudwell,0
James Clark,4
Jacques D'Amours,0
John Paul DeJoria,0
Bernard Ecclestone & family,0
Michael Federmann & family,0
Kenneth Feld & family,1
Gu Yuhua & family,0
Otto Happel,0
Gudrun Heine,0
Donald Horton & family,0
Zarakh Iliev,0
Ipek Kirac,0
Lee Seo-hyun,0
Li Jianquan & family,0
Li Li,0
Li Xiaohua & family,0
Liu Xiaodong,0
Martin Lorentzon,0
Ronald McAulay,0
Erwin Franz Mueller,0
Georg Nemetschek & family,1
God Nisanov,0
Vikas Oberoi,0
Gregorio Perez Companc & family,0
Sebastian Piñera & family,3
Arvind Poddar,0
Alexey Repik,0
Haim Saban,0
Rodney Sacks,0
Karthik Sarma,0
Sybill Storz,0
Daniel Sundheim,0
"William Wrigley, Jr.",0
Zhang Wenzhong,0
Zhou Jianping,0
Joy Alukkas,1
Kang An,0
Garrett Camp,0
Chen Lip Keong,0
Choo Chong Ngen,0
Euisun Chung,0
Smita Crishna-Godrej,0
Eleanor Butt Crook & family,0
Du Jiangtao & family,0
Lorenzo Fertitta,0
Sebastian Glaser,0
Adi Godrej,0
Jamshyd Godrej,0
Lee Yeow Chor,0
Li Weiguo,0
Dmitry Mazepin,0
"Drayton McLane, Jr.",0
Najib Mikati,0
Taha Mikati,0
Akira Mori & family,0
Rishad Naoroji,0
Philip Niarchos,0
Nandan Nilekani,2
Benjamin Otto,0
Maren Otto,0
Ranjan Pai,0
Madhukar Parekh,0
Sean Parker,0
Stewart Rahr,0
Su Hua,0
Sun Shoukuan,0
Tseng Cheng,0
Tung Chee Hwa,0
Meg Whitman,8
Wong Luen Hei,0
Chenghai Ye & family,0
Zhu Xingming,0
Jose Joao Abdalla Filho,0
Juan Abello,0
Suhail Bahwan,0
Madhur Bajaj,0
Niraj Bajaj,0
Shekhar Bajaj,0
Harindarpal Banga,0
Ulrike Baro,0
Anne Beaufour,0
Henri Beaufour,0
Andrei Bokarev,0
Jack Cowin,0
Glenn Dubin,0
N. Murray Edwards,0
"Frank Fertitta, III.",0
Abhay Firodia,0
Bruce Flatt,1
Miguel Fluxa Rossello,1
Robert Friedland,0
Alexander Frolov,1
Nadir Godrej,0
Maggie Hardy,0
Nithin Kamath,0
Samvel Karapetyan,0
Kei Hoi Pang,0
Mustafa Rahmi Koc,0
Yuri Kovalchuk & family,0
Geoffrey Kwok,0
Jonathan Kwok,0
Hans Langer,0
Frank Laukien,0
Maritsa Lazari & family,0
Angela Leong,0
Li Zhongchu,0
Liang Yunchao,0
Vincent McMahon,0
Patrice Motsepe,0
Denis O'Brien,0
Timm Oberwelland,0
Dan Olsson,0
Yuji Otsuka,0
Pan Dong,0
Karsanbhai Patel,0
Richard Peery,0
Gianfelice Rocca,0
Paolo Rocca,0
Wayne Rothbaum,0
Jeff Rothschild,0
Raj Sardana,0
Christiane Schoeller,0
Salil Singhal,0
Alexander Skorobogatko,0
Evan Spiegel,0
Glen Taylor,0
Thomas Tull,0
Bulat Utemuratov,0
Gustav Magnar Witzoe,0
Wong Man Li,0
Guangming Wu,1
Zhu Yi,0
Ben Ashkenazy,0
Felix Baker,0
Julian Baker,0
David Baszucki,0
Joesley Batista,0
Wesley Batista,0
Yvonne Bauer,0
Miriam Baumann-Blocher,1
Cen Junda,0
Richard Chandler,0
Chen Zhiping,0
Fernando Chico Pardo,0
Ray Davis,0
Maria Del Pino,0
Deng Weiming & family,0
"John Dorrance, III.",0
Carl Douglas,0
Eric Douglas,0
Fiona Geminder,0
Stewart Horejsi & family,0
Hou Juncheng,0
Zhenda Huang & family,0
Dmitry Kamenshchik,0
Alicia Koplowitz,0
Adam Kwok,0
Henry Laufer,2
Louis Le Duff,0
Mark Leonard & family,0
Li Guoqiang,0
